sepal_length,sepal_width,petal_length,petal_width,target
-0.9245318710781179,1.1440403278234645,-1.3854030511539699,-1.3413503363541273,0
-1.1832186212122895,-0.08853726361001092,-1.3854030511539699,-1.3413503363541273,0
-1.4419053713464622,0.40449377296337974,-1.4443563724796709,-1.3413503363541273,0
-1.5712487464135494,0.15797825467668442,-1.3264497298282691,-1.3413503363541273,0
-1.0538752461452037,1.39055584611016,-1.3854030511539699,-1.3413503363541273,0
-0.536501745876858,2.130102400970245,-1.2085430871768672,-1.0721323183155604,0
-1.5712487464135494,0.8975248095367693,-1.3854030511539699,-1.2067413273348437,0
-1.0538752461452037,0.8975248095367693,-1.3264497298282691,-1.3413503363541273,0
-1.829935496547721,-0.33505278189670623,-1.3854030511539699,-1.3413503363541273,0
-1.1832186212122895,0.15797825467668442,-1.3264497298282691,-1.4759593453734106,0
-0.536501745876858,1.6370713643968553,-1.3264497298282691,-1.3413503363541273,0
-1.3125619962793764,0.8975248095367693,-1.2674964085025682,-1.3413503363541273,0
-1.3125619962793764,-0.08853726361001092,-1.3854030511539699,-1.4759593453734106,0
-0.536501745876858,2.130102400970245,-1.4443563724796709,-1.0721323183155604,0
-0.9245318710781179,1.1440403278234645,-1.3854030511539699,-1.2067413273348437,0
-0.1484716206755993,1.8835868826835496,-1.2085430871768672,-1.2067413273348437,0
-0.9245318710781179,1.8835868826835496,-1.3264497298282691,-1.2067413273348437,0
-0.536501745876858,0.8975248095367693,-1.2085430871768672,-1.3413503363541273,0
-0.9245318710781179,1.6370713643968553,-1.3264497298282691,-1.0721323183155604,0
-1.5712487464135494,1.39055584611016,-1.6212163364567733,-1.3413503363541273,0
-0.9245318710781179,0.651009291250074,-1.2085430871768672,-0.937523309296277,0
-1.3125619962793764,0.8975248095367693,-1.0906364445254657,-1.3413503363541273,0
-1.0538752461452037,-0.08853726361001092,-1.2674964085025682,-1.3413503363541273,0
-1.0538752461452037,0.8975248095367693,-1.2674964085025682,-1.0721323183155604,0
-0.7951884960110308,1.1440403278234645,-1.3264497298282691,-1.3413503363541273,0
-0.7951884960110308,0.8975248095367693,-1.3854030511539699,-1.3413503363541273,0
-1.4419053713464622,0.40449377296337974,-1.2674964085025682,-1.3413503363541273,0
-1.3125619962793764,0.15797825467668442,-1.2674964085025682,-1.3413503363541273,0
-0.536501745876858,0.8975248095367693,-1.3264497298282691,-1.0721323183155604,0
-0.7951884960110308,2.6231334375436344,-1.3264497298282691,-1.4759593453734106,0
-0.40715837080977213,2.8696489558303306,-1.3854030511539699,-1.3413503363541273,0
-1.1832186212122895,0.15797825467668442,-1.3264497298282691,-1.3413503363541273,0
-1.0538752461452037,0.40449377296337974,-1.5033096938053716,-1.3413503363541273,0
-0.40715837080977213,1.1440403278234645,-1.4443563724796709,-1.3413503363541273,0
-1.1832186212122895,1.39055584611016,-1.3854030511539699,-1.4759593453734106,0
-1.829935496547721,-0.08853726361001092,-1.4443563724796709,-1.3413503363541273,0
-0.9245318710781179,0.8975248095367693,-1.3264497298282691,-1.3413503363541273,0
-1.0538752461452037,1.1440403278234645,-1.4443563724796709,-1.2067413273348437,0
-1.829935496547721,0.40449377296337974,-1.4443563724796709,-1.3413503363541273,0
-1.0538752461452037,1.1440403278234645,-1.2674964085025682,-0.8029143002769936,0
-0.9245318710781179,1.8835868826835496,-1.0906364445254657,-1.0721323183155604,0
-1.3125619962793764,-0.08853726361001092,-1.3854030511539699,-1.2067413273348437,0
-0.9245318710781179,1.8835868826835496,-1.2674964085025682,-1.3413503363541273,0
-1.5712487464135494,0.40449377296337974,-1.3854030511539699,-1.3413503363541273,0
